filename zero_cr spectral_centroid spectral_rollof chroma_frequency
" - MHA - Opening saison 3.m4a" 0.12081488024150742 2609.0410666418993 5654.2373948795785 0.34967932699481696
" - Rilès - EVIL.m4a" 0.11859156538609543 2706.6478592531334 5620.851012338058 0.323583442603362
"06 - PRESQUE RIEN (Hippocampe Fou feat. Gaël Faye).m4a" 0.07262976008399004 2251.656618708374 4970.178777061029 0.41536026678047455
"Akhenaton - Vivre maintenant.m4a" 0.0811956026909003 1784.9954031747834 3629.3021542628935 0.3997510641778473
"Aladdin - Ton meilleu ami.m4a" 0.1429483919478834 2564.1509968447685 5009.914695081619 0.3728696540788458
"Alain Souchon & Laurent Voulzy - Allô maman bobo.m4a" 0.06638403840896664 1540.9259857656873 3008.9925868814926 0.3047075304881968
"Alain Souchon & Laurent Voulzy - Foule sentimentale.m4a" 0.10436213822719709 2266.5858714353653 4784.15743631493 0.4102227500515681
"Alestorm - You are a Pirate.m4a" 0.15624295339325703 2744.993765519819 5480.48416141492 0.4872409713341175
"Aliotta Haynes Jeremiah - Lake Shore Drive.m4a" 0.09330063439849624 2068.820959459273 4456.3504966672435 0.3801279233227202
"AllStarJR - Deep in the Game.m4a" 0.07687468763882718 2343.7716374236 5262.345912667287 0.48006895995856763
"alt-J - 3WW (feat. Lomepal) [Lomepal Version].m4a" 0.07834472945824932 2013.2834943188107 4239.093640888165 0.3450095688520269
"Angèle - Balance ton quoi.m4a" 0.05927648271032329 1985.4837914649302 4519.248703417754 0.35612624011840055
"Arctic Monkeys - Arabella.m4a" 0.09508143267643272 2316.710578790974 5037.736737704101 0.44520446765107596
"Arctic Monkeys - Do I Wanna Know.m4a" 0.0747718367737003 1728.4479264970232 3515.9176999713304 0.38499208222365505
"Arctic Monkeys - I Wanna Be Yours.m4a" 0.07951148978160848 1820.947179857582 3677.62028472835 0.41131192791489357
"Arctic Monkeys - Knee Socks.m4a" 0.09198737333554885 1938.4655870438658 3950.5170364214864 0.39701406410502593
"Arctic Monkeys - Mad Sounds.m4a" 0.05658238720613609 1476.2996318541648 3010.618363734936 0.34892861123369984
"Arctic Monkeys - No. 1 Party Anthem.m4a" 0.07744997940960371 1685.4470408738798 3410.5251898130864 0.3514927174614433
"Arctic Monkeys - Piledriver Waltz.m4a" 0.12334067515387713 2306.510346510177 4693.031807490005 0.36504492537302163
"Arctic Monkeys - R U Mine_.m4a" 0.09004580518993188 2199.831424359533 4729.538960683127 0.4111978663684344
"Arctic Monkeys - Snap Out Of It (Official Audio).m4a" 0.0858249975950154 1968.4266078142184 4229.709011893574 0.37620078938999607
"Arctic Monkeys - Why'd You Only Call Me When You're High.m4a" 0.09062898992764931 2113.52452540113 4491.258286719526 0.41244220073930016
"ASMR Hypnose -  Détente et focus.m4a" 0.05066198911827865 1807.106906569069 3891.8648890294467 0.6264663095387065
"Bag Raiders - Shooting Stars.m4a" 0.11613547852149729 2419.532050939666 5060.999790359103 0.39231638603366514
"BBMak - Always Know Where You Are.m4a" 0.12509511444838958 2526.271820560262 5333.828669340162 0.3502972018380984
"Biffty - Roule un boze (Remix Dj Weedim).m4a" 0.05445592636526772 2309.282152369994 5365.37547577741 0.5881744846595375
"Bigflo & Oli - Bienvenue chez moi.m4a" 0.09278846977532473 2469.45256314177 5085.5492163283625 0.3938713222623605
"Bigflo & Oli - INSOLENT @2.m4a" 0.12921398512983093 2653.553659085351 5281.964695142663 0.4220962198807082
"Bigflo & Oli - Toulouse.m4a" 0.06175725231866362 1547.313063545385 3061.7795910716836 0.3253497688498205
"Black Sabbath - Iron Man.m4a" 0.1469652595047216 2759.0714240601146 5542.2064721713305 0.41451661371198595
"Blade Runner Blues - Vangelis - 1982 - [HD].m4a" 0.053019901912848943 1408.8954749629672 3567.1372511106692 0.3131149731603368
"Blue Swede - Hooked On a Feeling.m4a" 0.1103381043325831 2164.720420272583 4331.277054974247 0.38511788990043766
"Bob Marley & The Wailers - Is This Love.m4a" 0.06687955793272612 1404.0285154733535 2610.5245249199957 0.37517700539092375
"Bob Marley & The Wailers - Stir It Up.m4a" 0.0731544651944327 1898.506158104245 3794.953246437824 0.347976311561513
"Bob Marley - Don't Worry, Be Happy.m4a" 0.052466175530869054 1430.1007309051952 2924.1387029806087 0.30675598538861076
"Bon Jovi - Livin' On A Prayer.m4a" 0.1427918362397455 2755.7220081271644 5738.570529443082 0.40860198744024007
